Depart;Arriver;Cost
31;32;0.949589683
31;33;0.942341293
31;34;0.923164485
31;35;0.909455587
32;33;0.941584731
32;34;0.936788155
32;35;0.926479035
33;34;0.925465839
33;35;0.914058054
34;35;0.932501418
