Depart;Arriver;Cost
7;107;0.948310713
7;108;0.958101377
7;109;0.93955095
7;110;0.947795824
7;111;0.955938138
7;112;0.944959444
7;113;0.956034228
7;114;0.976364167
7;115;0.968759298
7;116;0.974799881
7;117;0.988546256
7;118;0.94345421
7;119;0.974769961
7;120;0.953523238
7;121;0.948385149
7;122;0.954320628
7;123;0.956521739
8;9;0.998527246
8;10;0.999705276
8;11;0.988444444
8;12;0.950819672
8;13;0.920087747
8;14;0.956836704
8;15;0.950501063
8;16;0.937922557
8;17;0.955659277
8;18;0.960185992
8;19;0.979531296
8;20;0.962920046
8;21;0.954176334
8;22;0.960812772
8;23;0.958442313
8;24;0.95992823
8;25;0.942577886
8;26;0.981892523
8;27;0.972606775
8;28;0.973861968
8;29;0.974178404
8;30;0.975638392
8;31;0.96953564
8;32;0.971159506
8;33;0.971159506
8;34;0.966371681
8;35;0.968141593
8;36;0.971057295
8;37;0.976730486
8;38;0.979579757
8;39;0.988214496
8;40;0.927662217
8;41;0.964622642
8;42;0.964622642
8;43;0.969393761
8;44;0.982662357
8;45;0.974829731
8;46;0.941646192
8;47;0.943765281
8;48;0.956600362
8;49;0.90121873
8;50;0.961492891
8;51;0.963363363
8;52;0.955365061
8;53;0.96429643
8;54;0.970753323
8;55;0.960835509
8;56;0.961046512
8;57;0.960767219
8;58;0.962362478
8;59;0.962898551
8;60;0.965237543
8;61;0.966253245
8;62;0.963478261
8;63;0.965876229
8;64;0.966473988
8;65;0.962362478
8;66;0.961204401
8;67;0.961929672
8;68;0.959392346
8;69;0.968515742
8;70;0.98409894
8;71;0.980565371
8;72;0.979567664
8;73;0.977219626
8;74;0.976893829
8;75;0.986815119
8;76;0.93980344
8;77;0.986502347
8;78;0.986557569
8;79;0.985964912
8;80;0.978635015
8;81;0.986845951
8;82;0.986557569
8;83;0.9509149
8;84;0.979338843
8;85;0.978395975
8;86;0.973809524
8;87;0.976564818
8;88;0.978106509
8;89;0.974465558
8;90;0.973519786
8;91;0.979326639
8;92;0.979929162
8;93;0.977790939
8;94;0.977225673
8;95;0.976882039
8;96;0.989940828
8;97;0.983847283
8;98;0.938858302
8;99;0.945938132
8;100;0.930419781
8;101;0.945296671
8;102;0.95224143
8;103;0.929965557
8;104;0.936145623
8;105;0.946039036
8;106;0.939402725
8;107;0.945969373
8;108;0.955731457
8;109;0.937788018
8;110;0.945443993
8;111;0.953576642
8;112;0.943188406
8;113;0.953646295
8;114;0.97459854
8;115;0.966359035
8;116;0.972411747
8;117;0.990890391
8;118;0.942804428
8;119;0.972378972
8;120;0.95169517
8;121;0.947145877
8;122;0.95371179
8;123;0.95529553
9;10;0.998233216
9;11;0.987566607
9;12;0.95177434
9;13;0.921102066
9;14;0.958383595
9;15;0.952063107
9;16;0.939514891
9;17;0.957155348
9;18;0.961672474
9;19;0.981031417
9;20;0.964399421
9;21;0.955665025
9;22;0.962296984
9;23;0.959930314
9;24;0.961458022
9;25;0.943545926
9;26;0.983367377
9;27;0.974102413
9;28;0.975352113
9;29;0.97566696
9;30;0.9771261
9;31;0.971040189
9;32;0.972655101
9;33;0.972655101
9;34;0.967875037
9;35;0.969643383
9;36;0.972558277
9;37;0.978222484
9;38;0.981076286
9;39;0.989696791
9;40;0.928039702
9;41;0.964948454
9;42;0.964948454
9;43;0.96971479
9;44;0.984145625
9;45;0.973964497
9;46;0.943234121
9;47;0.945343511
9;48;0.958145137
9;49;0.902274912
9;50;0.963006807
9;51;0.96489649
9;52;0.954518606
9;53;0.965827338
9;54;0.972255018
9;55;0.962318841
9;56;0.962532675
9;57;0.962253194
9;58;0.963841481
9;59;0.964378801
9;60;0.966714906
9;61;0.967146974
9;62;0.964958008
9;63;0.967350477
9;64;0.967946867
9;65;0.963841481
9;66;0.962684408
9;67;0.963414634
9;68;0.960887332
9;69;0.970041941
9;70;0.985583995
9;71;0.982053545
9;72;0.981065089
9;73;0.97869857
9;74;0.978375219
9;75;0.988290398
9;76;0.93955201
9;77;0.987980064
9;78;0.988029197
9;79;0.98743792
9;80;0.979543433
9;81;0.988317757
9;82;0.988029197
9;83;0.951247824
9;84;0.980831613
9;85;0.979893554
9;86;0.975319655
9;87;0.978067576
9;88;0.979603902
9;89;0.975971522
9;90;0.975029727
9;91;0.980820301
9;92;0.98142141
9;93;0.979289941
9;94;0.978723404
9;95;0.977790939
9;96;0.991427727
9;97;0.985328638
9;98;0.939200926
9;99;0.94627383
9;100;0.930767021
9;101;0.945633314
9;102;0.952576112
9;103;0.93031259
9;104;0.936489607
9;105;0.94637224
9;106;0.939745075
9;107;0.94630485
9;108;0.957234915
9;109;0.939280576
9;110;0.946941142
9;111;0.955075846
9;112;0.94468578
9;113;0.95280236
9;114;0.976079347
9;115;0.967876264
9;116;0.973918198
9;117;0.991779213
9;118;0.944393241
9;119;0.97388724
9;120;0.95323741
9;121;0.948702474
9;122;0.954043048
9;123;0.956834532
10;11;0.988744076
10;12;0.951138088
10;13;0.920426065
10;14;0.957151479
10;15;0.950819672
10;16;0.938248848
10;17;0.955963838
10;18;0.960488088
10;19;0.979833926
10;20;0.963220388
10;21;0.954479559
10;22;0.961114335
10;23;0.958744916
10;24;0.960239163
10;25;0.942900763
10;26;0.982189781
10;27;0.972909305
10;28;0.974163241
10;29;0.974479319
10;30;0.975938967
10;31;0.969840331
10;32;0.971462195
10;33;0.971462195
10;34;0.966676497
10;35;0.968445886
10;36;0.971361087
10;37;0.977031802
10;38;0.979881657
10;39;0.988512518
10;40;0.927995034
10;41;0.964927793
10;42;0.964927793
10;43;0.96969697
10;44;0.982961222
10;45;0.975133215
10;46;0.941971139
10;47;0.944087993
10;48;0.956914733
10;49;0.901571016
10;50;0.961800415
10;51;0.963674572
10;52;0.955673759
10;53;0.964607079
10;54;0.971057295
10;55;0.961136891
10;56;0.961348445
10;57;0.961069146
10;58;0.962662808
10;59;0.963199073
10;60;0.965537214
10;61;0.966551326
10;62;0.963778615
10;63;0.965596993
10;64;0.966772609
10;65;0.962662808
10;66;0.961505065
10;67;0.962231261
10;68;0.959696262
10;69;0.96882494
10;70;0.984397998
10;71;0.98086547
10;72;0.979277679
10;73;0.977518248
10;74;0.977192982
10;75;0.987111892
10;76;0.940128953
10;77;0.986799648
10;78;0.986853637
10;79;0.986261327
10;80;0.978938001
10;81;0.987142022
10;82;0.986853637
10;83;0.951219512
10;84;0.979640012
10;85;0.978698225
10;86;0.974114847
10;87;0.976868327
10;88;0.978408755
10;89;0.974769961
10;90;0.973825104
10;91;0.979627989
10;92;0.980230156
10;93;0.978093546
10;94;0.97752809
10;95;0.977185185
10;96;0.990239574
10;97;0.984145625
10;98;0.939165701
10;99;0.946242775
10;100;0.93072722
10;101;0.945601852
10;102;0.95254833
10;103;0.930272597
10;104;0.936452917
10;105;0.946341463
10;106;0.939710145
10;107;0.94627383
10;108;0.956037515
10;109;0.938093867
10;110;0.945749927
10;111;0.953882078
10;112;0.943494639
10;113;0.953955136
10;114;0.97489784
10;115;0.966666667
10;116;0.972716489
10;117;0.990599295
10;118;0.943129419
10;119;0.972684086
10;120;0.952009598
10;121;0.947463768
10;122;0.954016298
10;123;0.955008998
11;12;0.953921269
11;13;0.925015753
11;14;0.959951456
11;15;0.956654457
11;16;0.943466172
11;17;0.951627089
11;18;0.956191589
11;19;0.982707215
11;20;0.958951965
11;21;0.951326144
11;22;0.956826138
11;23;0.954439252
11;24;0.962428614
11;25;0.947497697
11;26;0.975051365
11;27;0.972172883
11;28;0.969893743
11;29;0.970215276
11;30;0.971681416
11;31;0.971462545
11;32;0.970127181
11;33;0.970127181
11;34;0.968277498
11;35;0.968870442
11;36;0.968239834
11;37;0.972172883
11;38;0.97620464
11;39;0.982528872
11;40;0.935081149
11;41;0.965333333
11;42;0.965333333
11;43;0.966577936
11;44;0.981098641
11;45;0.971428571
11;46;0.944118555
11;47;0.950537634
11;48;0.960920933
11;49;0.90744921
11;50;0.963977374
11;51;0.959855116
11;52;0.951871658
11;53;0.96079614
11;54;0.966152019
11;55;0.955685131
11;56;0.957055215
11;57;0.957943925
11;58;0.958393948
11;59;0.958928051
11;60;0.960116448
11;61;0.96115942
11;62;0.95834547
11;63;0.960185992
11;64;0.961951786
11;65;0.958393948
11;66;0.95664824
11;67;0.95911215
11;68;0.958308867
11;69;0.96925859
11;70;0.977804084
11;71;0.976028411
11;72;0.975595238
11;73;0.973877311
11;74;0.974132863
11;75;0.981743227
11;76;0.949058351
11;77;0.98142141
11;78;0.979148311
11;79;0.979723773
11;80;0.982403817
11;81;0.979435958
11;82;0.979735683
11;83;0.948628138
11;84;0.976564818
11;85;0.97323022
11;86;0.972180676
11;87;0.973762671
11;88;0.974130241
11;89;0.971650254
11;90;0.971889952
11;91;0.975957257
11;92;0.975971522
11;93;0.973214286
11;94;0.973840666
11;95;0.974084004
11;96;0.98245614
11;97;0.980519481
11;98;0.936517181
11;99;0.941894248
11;100;0.927477608
11;101;0.942990111
11;102;0.948763251
11;103;0.927603115
11;104;0.933217189
11;105;0.942024805
11;106;0.937062937
11;107;0.943089431
11;108;0.952857985
11;109;0.936034732
11;110;0.941382327
11;111;0.950117371
11;112;0.941450626
11;113;0.954302671
11;114;0.970657277
11;115;0.969479354
11;116;0.97137746
11;117;0.985823981
11;118;0.948995363
11;119;0.967761194
11;120;0.954161641
11;121;0.951426837
11;122;0.947922762
11;123;0.955971049
12;13;0.962819269
12;14;0.988491446
12;15;0.982159624
12;16;0.974651458
12;17;0.937537538
12;18;0.939276099
12;19;0.953864956
12;20;0.937984496
12;21;0.940895522
12;22;0.93636092
12;23;0.933293449
12;24;0.974738139
12;25;0.972292191
12;26;0.941671678
12;27;0.957840461
12;28;0.953129725
12;29;0.95347432
12;30;0.953762466
12;31;0.96131587
12;32;0.955757576
12;33;0.955757576
12;34;0.958687728
12;35;0.957472661
12;36;0.955596107
12;37;0.955414013
12;38;0.959463578
12;39;0.952669903
12;40;0.954210695
12;41;0.941105039
12;42;0.941105039
12;43;0.941212121
12;44;0.947655068
12;45;0.952119549
12;46;0.96010133
12;47;0.979206049
12;48;0.959627329
12;49;0.937086093
12;50;0.961561928
12;51;0.953589109
12;52;0.941856925
12;53;0.952086553
12;54;0.952236082
12;55;0.933412959
12;56;0.937163375
12;57;0.937481304
12;58;0.935041716
12;59;0.9349642
12;60;0.934406679
12;61;0.93737014
12;62;0.9349642
